,,Name,Last,High,Low,Chg,%Chg,Volume,Time
,,Senco Gold,404.95,443.80,401.40,+87.95,+27.74%,1.11M,15:58:44
,,Senco Gold,402.70,444.00,401.20,+85.70,+27.03%,15.11M,15:29:59
,,Pix Transmissions,"1,204.05","1,204.05","1,000.90",+200.65,+20.00%,482.51K,15:28:23
,,Jeena Sikho Lifecare,619.20,619.20,520.00,+103.20,+20.00%,161.00K,15:29:42
,,Ritco Logistics,268.25,268.25,223.00,+44.70,+20.00%,1.54M,15:29:52
,,Ritco Logistics,268.50,268.50,221.80,+44.75,+20.00%,94.64K,15:28:57
,,Pix Transmissions,"1,207.95","1,207.95","1,003.20",+201.30,+20.00%,64.81K,15:43:16
,,Panasonic Energy India Co,297.05,297.05,259.95,+49.50,+20.00%,101.62K,15:40:42
,,Megasoft Ltd,34.86,34.86,29.07,+5.81,+20.00%,531.37K,15:56:55
,,Precision Camshafts,219.00,219.00,188.70,+36.50,+20.00%,2.55M,15:29:57
,,Subex Ltd,33.90,33.90,29.00,+5.65,+20.00%,46.35M,15:29:56
,,Precision Camshafts,217.30,217.30,188.65,+36.20,+19.99%,198.42K,15:29:51
,,Subex Ltd,33.94,33.94,28.81,+5.65,+19.97%,12.99M,15:59:59
,,Silgo Retail,24.65,24.65,20.55,+4.10,+19.95%,639.37K,15:27:41
,,Megasoft Ltd,34.70,34.70,29.10,+5.75,+19.86%,1.86M,15:29:04
,,Link Pharmachem,57.31,57.43,44.05,+9.45,+19.75%,255.73K,15:56:14
,,Indo National Ltd,522.05,523.25,436.45,+86.00,+19.72%,41.25K,15:47:41
,,Sealmatic India,488.75,490.00,419.90,+80.40,+19.69%,243.00K,15:53:11
,,Indo National Ltd,513.90,526.55,436.55,+75.10,+17.11%,455.79K,15:29:54
,,Taneja Aerospace and Aviation,219.25,221.00,188.50,+30.60,+16.22%,419.57K,15:59:22
,,Magna Electro Castings,572.55,593.85,506.00,+77.65,+15.69%,108.75K,15:56:00
,,Beekay Steel Industries Ltd,546.00,559.90,460.10,+74.05,+15.69%,20.28K,15:29:45
,,Excel Infoways Ltd,0.40,0.40,0.35,+0.05,+14.29%,2.45M,15:28:59
,,Moschip Semiconductor Tech,106.70,112.05,94.00,+13.32,+14.26%,5.17M,15:59:42
,,FCS Software Solutions Ltd,2.450,2.450,2.150,+0.300,+13.95%,15.01M,15:30:02
,,De Nora India Ltd,"2,239.70","2,323.25","1,976.00",+274.05,+13.94%,155.28K,15:29:58
,,De Nora India Ltd,"2,238.00","2,320.00","1,977.90",+273.45,+13.92%,18.12K,15:29:57
,,Minaxi Textiles,1.56,1.56,1.37,+0.19,+13.87%,7.34K,15:15:00
,,Manaksia Aluminium Co Ltd,28.400,28.500,26.000,+3.450,+13.83%,1.00M,15:29:51
,,Modison Metals,82.90,83.81,73.50,+9.61,+13.11%,43.76K,15:29:33
,,Take Solutions Ltd,18.75,19.34,16.30,+2.14,+12.88%,341.75K,15:59:02
,,Croissance,6.90,6.90,5.60,+0.78,+12.75%,424.67K,15:28:38
,,Modison Metals,82.85,83.90,72.75,+9.35,+12.72%,523.63K,15:29:54
,,Global Vectra Helicorp Ltd,85.90,87.15,76.40,+9.50,+12.43%,674.37K,15:29:57
,,Take Solutions Ltd,18.60,19.35,16.35,+2.05,+12.39%,1.74M,15:29:55
,,SoftSol India,171.50,179.90,155.00,+18.75,+12.27%,4.15K,15:29:54
,,Craftsman Automation,"4,636.00","4,644.70","4,130.05",+506.15,+12.26%,375.60K,15:29:59
,,Ganges Securities,121.05,123.80,107.50,+13.15,+12.19%,8.80K,15:28:01
,,Unique Organics,46.44,47.00,42.01,+5.01,+12.09%,72.94K,15:45:25
,,Amforge Ind,5.30,5.45,4.77,+0.57,+12.05%,32.98K,15:41:10
,,Ganges Securities,120.95,124.00,107.10,+13.00,+12.04%,64.23K,15:29:47
,,Manaksia Aluminium Co Ltd,28.020,28.400,25.990,+2.980,+11.90%,167.76K,15:29:51
,,Mukta Agriculture,3.200,3.250,2.800,+0.340,+11.89%,18.32K,15:15:00
,,Craftsman Automation,"4,617.00","4,650.00","4,149.90",+483.95,+11.71%,16.60K,15:29:49
,,Global Vectra Helicorp Ltd,85.50,87.20,76.65,+8.89,+11.60%,82.48K,15:29:47
,,Panasonic Carbon India Co,438.60,450.00,395.00,+45.55,+11.59%,91.73K,15:49:17
,,JBM Auto,"1,467.20","1,548.35","1,440.00",+152.20,+11.57%,175.37K,15:54:45
,,Raminfo,100.88,108.61,89.20,+10.37,+11.46%,113.01K,15:45:46
,,Rajasthan Cylinders and Containers,37.80,38.50,33.61,+3.80,+11.18%,2.68K,15:16:32
,,JBM Auto,"1,462.40","1,539.60","1,439.05",+146.40,+11.12%,3.18M,15:29:59
