,Name,Last,High,Low,Chg,%Chg,Volume,Time
,Navneet Education,130.95,133.50,130.05,+1.15,+0.89%,132.95K,15:29:51
,Linde India,"4,375.00","4,404.80","4,315.00",-6.70,-0.15%,35.79K,15:30:02
,Puravankara Projects,101.10,102.70,100.20,+0.40,+0.40%,174.64K,15:29:53
,Electrosteel Castings,58.25,58.45,56.70,+1.60,+2.82%,2.80M,15:29:56
,Vijaya Diagnostic Centre,462.00,466.45,456.70,+3.05,+0.66%,38.26K,15:29:41
,VST Industries,"3,582.95","3,599.95","3,560.10",-10.05,-0.28%,5.21K,15:29:21
,Arvee Labs,116.20,116.20,116.10,0.00,0.00%,4.00,15:26:42
,Adani Enterprises,"2,381.95","2,385.00","2,340.00",+19.90,+0.84%,1.35M,15:29:59
,Adani Power,241.60,242.70,236.00,+4.40,+1.85%,2.49M,15:29:58
,Banco Products India,314.60,318.15,312.00,+0.45,+0.14%,113.73K,15:29:55
